step,num_agents,num_predators,num_prey,predators,prey,rewards,cumulative_rewards,terminations,death_causes,predators_ate
452,34,13,21,['type_1_predator_3'],[],{},{},{},{},[]
453,35,13,22,[],[],{},{},{},{},[]
454,35,13,22,[],[],{},{},{},{},[]
455,35,13,22,['type_1_predator_2'],[],{},{},{},{},[]
456,37,13,24,[],[],{},{},{},{},[]
457,37,13,24,[],[],{},{},{},{},[]
458,37,13,24,[],[],{},{},{},{},[]
459,36,13,23,['type_1_predator_0'],[],{},{},{},{},[]
460,37,13,24,[],[],{},{},{},{},[]
461,38,13,25,[],[],{},{},{},{},[]
462,38,13,25,[],[],{},{},{},{},[]
463,37,13,24,['type_1_predator_2'],[],{},{},{},{},[]
464,38,13,25,[],[],{},{},{},{},[]
465,38,13,25,['type_1_predator_9'],[],{},{},{},{},[]
466,39,13,26,[],[],{},{},{},{},[]
467,40,13,27,[],[],{},{},{},{},[]
468,39,13,26,['type_1_predator_21'],[],{},{},{},{},[]
469,40,14,26,['type_1_predator_10', 'type_1_predator_2'],[],{},{},{},{},[]
470,40,14,26,[],[],{},{},{},{},[]
471,39,14,25,['type_1_predator_7'],[],{},{},{},{},[]
472,41,15,26,['type_1_predator_7'],[],{},{},{},{},[]
473,43,15,28,[],[],{},{},{},{},[]
474,43,15,28,[],[],{},{},{},{},[]
475,43,15,28,[],[],{},{},{},{},[]
476,42,15,27,['type_1_predator_3'],[],{},{},{},{},[]
477,42,16,26,['type_1_predator_10'],[],{},{},{},{},[]
478,40,14,26,[],[],{},{},{},{},[]
479,40,14,26,['type_1_predator_11'],[],{},{},{},{},[]
480,41,15,26,['type_1_predator_11'],[],{},{},{},{},[]
481,41,15,26,[],[],{},{},{},{},[]
482,42,15,27,[],[],{},{},{},{},[]
483,41,15,26,['type_1_predator_21'],[],{},{},{},{},[]
484,39,15,24,['type_1_predator_0', 'type_1_predator_8'],[],{},{},{},{},[]
